sample_id,direction,ftp,md5,filepath
sample001,forward,ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4835448/sample001_S001_L001_R1_001.fastq.gz,fa56f1993a85d5ddfa60e5640fb46efd,fastq/sample001_S001_L001_R1_001.fastq.gz
sample001,reverse,ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4835448/sample001_S001_L001_R2_001.fastq.gz,a5a9fc4b5dbb5fc3c89e41dd8b3e3219,fastq/sample001_S001_L001_R2_001.fastq.gz
sample002,forward,ftp.sra.ebi.ac.uk/vol1/run/ERR484/ERR4843941/sample002_S001_L001_R1_001.fastq.gz,1aad58de4f131654b19bcf1e7ddb4beb,fastq/sample002_S001_L001_R1_001.fastq.gz
sample002,reverse,ftp.sra.ebi.ac.uk/vol1/run/ERR484/ERR4843941/sample002_S001_L001_R2_001.fastq.gz,b35eea31e050bced0fae9dc5d02f8e06,fastq/sample002_S001_L001_R2_001.fastq.gz
sample003,forward,ftp.sra.ebi.ac.uk/vol1/run/ERR484/ERR4843942/sample003_S001_L001_R1_001.fastq.gz,9c22796ebf5e62753cc0a1c388bca475,fastq/sample003_S001_L001_R1_001.fastq.gz
sample003,reverse,ftp.sra.ebi.ac.uk/vol1/run/ERR484/ERR4843942/sample003_S001_L001_R2_001.fastq.gz,8bb0bc3eaa14a43cbf432fd91dbb0d59,fastq/sample003_S001_L001_R2_001.fastq.gz
sample004,forward,ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4836298/sample004_S001_L001_R1_001.fastq.gz,867683ca73a8b8f195428773bba85677,fastq/sample004_S001_L001_R1_001.fastq.gz
sample004,reverse,ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4836298/sample004_S001_L001_R2_001.fastq.gz,7bb614ac03b4f10f425a09fbeb9861ae,fastq/sample004_S001_L001_R2_001.fastq.gz
sample005,forward,ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4836299/sample005_S001_L001_R1_001.fastq.gz,6d94426e862021be3260e4b08902374c,fastq/sample005_S001_L001_R1_001.fastq.gz
sample005,reverse,ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4836299/sample005_S001_L001_R2_001.fastq.gz,6b61463638bff42890733676f9cd98e7,fastq/sample005_S001_L001_R2_001.fastq.gz
sample006,forward,ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4836300/sample006_S001_L001_R1_001.fastq.gz,fca9b9bdc1cc8d589aed2b6dbef7cad8,fastq/sample006_S001_L001_R1_001.fastq.gz
sample006,reverse,ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4836300/sample006_S001_L001_R2_001.fastq.gz,e372a342f332412e378e709cf0160be8,fastq/sample006_S001_L001_R2_001.fastq.gz
sample007,forward,ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4836301/sample007_S001_L001_R1_001.fastq.gz,df579313f1face184311a11918d3320c,fastq/sample007_S001_L001_R1_001.fastq.gz
sample007,reverse,ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4836301/sample007_S001_L001_R2_001.fastq.gz,87b8e5432618fea034fe8cb94f876384,fastq/sample007_S001_L001_R2_001.fastq.gz
