sample_id,donor,donation,suffix,run
sample001,FT-10022,AA,04,run_1
sample002,FT-10024,AB,NA,run_2
sample003,FT-10024,AC,NA,run_2
sample004,FT-10024,AD,NA,run_2
sample005,FT-10027,AE,NA,run_3
sample006,FT-10027,AF,NA,run_3
sample007,FT-10027,AF,NA,run_2
sample008,FT-10027,AG,NA,run_3
sample009,FT-10027,AG,NA,run_2
sample010,FT-10027,AH,NA,run_3
sample011,FT-10027,AH,NA,run_2
sample012,FT-10027,AI,NA,run_3
sample013,FT-10027,AI,NA,run_2
sample014,FT-10027,AD,NA,run_4
sample015,FT-10034,AJ,b,run_5
sample016,FT-10034,AJ,NA,run_5
sample017,FT-10034,AK,b,run_5
sample018,FT-10034,AK,NA,run_2
sample019,FT-10034,AK,NA,run_5
sample020,FT-10034,AL,NA,run_2
sample021,FT-10034,AM,NA,run_2
sample022,FT-10034,AN,NA,run_2
sample023,FT-10034,AO,NA,run_2
sample024,FT-10034,AO,NA,run_6
sample025,FT-10034,AP,NA,run_6
sample026,FT-10034,AQ,b,run_5
sample027,FT-10034,AQ,NA,run_5
sample028,FT-10038,AF,NA,run_6
sample029,FT-10038,AG,NA,run_6
sample030,FT-10038,AR,NA,run_6
sample031,FT-10038,AS,NA,run_6
sample032,FT-10040,AT,NA,run_4
sample033,FT-10040,AU,NA,run_5
sample034,FT-10040,AV,NA,run_4
sample035,FT-10040,AW,NA,run_4
sample036,FT-10040,AX,NA,run_5
sample037,FT-10044,AG,02,run_5
sample038,FT-10044,AR,01,run_5
sample039,FT-10048,AM,NA,run_3
sample040,FT-10057,AM,NA,run_3
sample041,FT-10058,AJ,NA,run_3
sample042,FT-10058,AY,NA,run_4
sample043,FT-10058,AZ,NA,run_4
sample044,FT-10058,BA,NA,run_4
sample045,FT-10058,BB,NA,run_4
sample046,FT-10058,BC,NA,run_4
sample047,FT-10058,BD,NA,run_4
sample048,FT-10058,BE,NA,run_4
sample049,FT-10058,BF,NA,run_4
sample050,FT-10059,BG,NA,run_3
sample051,FT-10064,BH,NA,run_3
sample052,FT-10078,AG,NA,run_2
sample053,FT-10078,AH,NA,run_2
sample054,FT-10079,AJ,NA,run_2
sample055,FT-10080,BI,NA,run_3
sample056,FT-10087,BH,NA,run_2
sample057,FT-10087,BJ,NA,run_3
sample058,FT-10088,AR,NA,run_3
sample059,FT-10089,BK,NA,run_3
sample060,FT-10093,AA,NA,run_3
sample061,FT-10094,BI,REP1,run_2
sample062,FT-10094,BI,REP2,run_2
sample063,FT-10100,BI,G1,run_3
sample064,FT-10110,BI,G1,run_3
sample065,FT-10120,BL,NA,run_2
sample066,FT-10120,BM,NA,run_2
sample067,FT-10120,BN,NA,run_2
sample068,FT-10120,BB,NA,run_2
sample069,FT-10122,BO,NA,run_2
sample070,FT-10122,BP,NA,run_2
sample071,FT-10122,BQ,NA,run_2
sample072,FT-10131,BI,REP1,run_2
sample073,FT-10131,BI,REP2,run_2
sample074,FT-10133,BI,REP1,run_2
sample075,FT-10133,BI,REP2,run_2
sample076,FT-10140,BI,REP1,run_2
sample077,FT-10140,BI,REP2,run_2
sample078,FT-10142,BI,REP1,run_2
sample079,FT-10142,BI,REP2,run_2
sample080,FT-10145,BI,REP1,run_2
sample081,FT-10145,BI,REP2,run_2
sample082,FT-10094,BR,NA,run_7
sample083,FT-10086,BS,NA,run_8
sample084,FT-10035,BT,NA,run_7
sample085,FT-10086,BU,NA,run_8
sample086,FT-10086,BV,NA,run_8
sample087,FT-10086,BW,NA,run_8
sample088,FT-10086,BX,NA,run_8
sample089,FT-10086,BY,NA,run_8
sample090,FT-10086,BZ,NA,run_8
sample091,FT-10086,CA,NA,run_8
sample092,FT-10086,CB,NA,run_8
sample093,FT-10086,CC,NA,run_8
sample094,FT-10086,CD,NA,run_8
sample095,FT-10086,CE,NA,run_8
sample096,FT-10164,BV,NA,run_7
sample097,FT-10123,CF,NA,run_7
sample098,FT-10080,CG,NA,run_7
sample099,FT-10024,AB,NA,run_9
sample100,FT-10120,BB,PA,run_2
sample101,FT-10120,BB,PB,run_2
sample102,FT-10120,BB,P,run_2
sample103,FT-10122,BQ,PA,run_2
sample104,FT-10122,BQ,PB,run_2
sample105,FT-10122,BQ,PC,run_2
sample106,FT-10044,AR,NA,run_9
sample107,FT-10023,AA,NA,run_10
sample108,FT-10024,AG,NA,run_10
sample109,FT-10026,AQ,NA,run_10
sample110,FT-10027,AE,NA,run_10
sample111,FT-10029,CH,NA,run_10
sample112,FT-10031,CI,NA,run_10
sample113,FT-10032,CJ,G1,run_10
sample114,FT-10033,CK,NA,run_10
sample115,FT-10034,AY,NA,run_10
sample116,FT-10035,AD,NA,run_10
